File Date: 29.08.2011 14:49:46

Data:
Spectrum Size: 8192 ch.
Aquisition Time: 222,226 s
Dead Time: 0 ms
Total Events: 1413673

Channel;Value
0;1
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0
34;0
35;0
36;0
37;0
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0
58;0
59;0
60;0
61;0
62;0
63;0
64;0
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0
82;0
83;0
84;0
85;0
86;0
87;0
88;0
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0
106;0
107;0
108;0
109;0
110;0
111;0
112;0
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0
130;0
131;0
132;0
133;0
134;0
135;0
136;0
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0
154;0
155;0
156;0
157;0
158;0
159;0
160;0
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0
178;0
179;0
180;0
181;0
182;0
183;0
184;0
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0
203;0
204;0
205;0
206;0
207;0
208;0
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0
226;0
227;0
228;0
229;0
230;0
231;0
232;0
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0
250;0
251;0
252;0
253;0
254;0
255;0
256;0
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0
274;0
275;0
276;0
277;0
278;0
279;0
280;0
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0
298;0
299;0
300;0
301;0
302;0
303;0
304;0
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0
322;0
323;0
324;0
325;0
326;0
327;0
328;0
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0
345;0
346;0
347;0
348;0
349;0
350;0
351;0
352;0
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0
370;0
371;0
372;3
373;264
374;541
375;575
376;630
377;667
378;681
379;572
380;549
381;435
382;460
383;441
384;442
385;440
386;461
387;469
388;482
389;459
390;429
391;479
392;443
393;453
394;452
395;477
396;477
397;504
398;463
399;436
400;461
401;460
402;446
403;477
404;497
405;446
406;459
407;497
408;462
409;474
410;433
411;500
412;486
413;470
414;491
415;486
416;441
417;491
418;437
419;483
420;443
421;498
422;478
423;446
424;452
425;483
426;455
427;449
428;446
429;458
430;441
431;490
432;446
433;387
434;467
435;487
436;496
437;473
438;455
439;466
440;462
441;437
442;470
443;483
444;486
445;468
446;467
447;466
448;451
449;485
450;425
451;528
452;455
453;405
454;474
455;442
456;466
457;476
458;443
459;451
460;486
461;514
462;480
463;423
464;472
465;491
466;451
467;454
468;513
469;456
470;430
471;474
472;416
473;463
474;479
475;490
476;434
477;420
478;481
479;474
480;428
481;453
482;477
483;469
484;449
485;417
486;421
487;464
488;429
489;449
490;401
491;420
492;452
493;471
494;484
495;449
496;402
497;479
498;460
499;515
500;439
501;465
502;461
503;444
504;472
505;474
506;420
507;450
508;454
509;415
510;467
511;437
512;468
513;462
514;472
515;457
516;467
517;467
518;452
519;454
520;422
521;449
522;417
523;469
524;454
525;494
526;469
527;441
528;471
529;448
530;436
531;443
532;411
533;449
534;444
535;473
536;459
537;425
538;437
539;475
540;418
541;445
542;454
543;425
544;441
545;463
546;431
547;483
548;440
549;451
550;473
551;439
552;426
553;468
554;449
555;444
556;466
557;451
558;424
559;442
560;458
561;412
562;436
563;440
564;426
565;447
566;445
567;445
568;408
569;442
570;442
571;438
572;439
573;402
574;472
575;422
576;428
577;459
578;423
579;465
580;467
581;423
582;445
583;427
584;433
585;422
586;478
587;448
588;384
589;451
590;418
591;415
592;428
593;418
594;455
595;438
596;413
597;447
598;431
599;472
600;453
601;468
602;408
603;448
604;395
605;409
606;428
607;452
608;450
609;413
610;434
611;407
612;454
613;418
614;474
615;422
616;460
617;402
618;488
619;438
620;432
621;428
622;430
623;446
624;439
625;430
626;406
627;381
628;431
629;422
630;409
631;407
632;401
633;436
634;427
635;409
636;396
637;378
638;445
639;413
640;443
641;413
642;423
643;430
644;451
645;399
646;415
647;404
648;388
649;425
650;452
651;435
652;436
653;390
654;402
655;390
656;401
657;386
658;407
659;411
660;394
661;397
662;379
663;376
664;373
665;429
666;380
667;371
668;413
669;414
670;398
671;411
672;368
673;410
674;377
675;420
676;397
677;417
678;377
679;365
680;382
681;409
682;383
683;403
684;418
685;423
686;378
687;399
688;418
689;418
690;406
691;384
692;373
693;404
694;411
695;401
696;361
697;372
698;403
699;384
700;394
701;379
702;405
703;444
704;404
705;385
706;382
707;405
708;373
709;341
710;383
711;368
712;382
713;398
714;385
715;403
716;394
717;355
718;384
719;392
720;378
721;389
722;356
723;368
724;393
725;357
726;392
727;391
728;379
729;364
730;379
731;386
732;372
733;361
734;389
735;364
736;391
737;359
738;338
739;341
740;377
741;353
742;402
743;390
744;374
745;410
746;385
747;368
748;372
749;375
750;377
751;373
752;383
753;401
754;377
755;372
756;359
757;356
758;386
759;394
760;372
761;384
762;396
763;385
764;370
765;369
766;369
767;357
768;335
769;344
770;323
771;349
772;381
773;383
774;370
775;355
776;348
777;374
778;380
779;355
780;348
781;377
782;345
783;354
784;379
785;364
786;360
787;383
788;331
789;354
790;353
791;363
792;360
793;349
794;356
795;355
796;349
797;360
798;338
799;336
800;300
801;374
802;379
803;357
804;357
805;371
806;355
807;397
808;330
809;399
810;361
811;377
812;379
813;392
814;347
815;362
816;408
817;377
818;363
819;357
820;340
821;312
822;349
823;338
824;391
825;354
826;359
827;344
828;334
829;347
830;303
831;348
832;345
833;331
834;366
835;348
836;332
837;361
838;354
839;339
840;310
841;325
842;335
843;367
844;339
845;313
846;367
847;354
848;380
849;352
850;375
851;383
852;359
853;299
854;316
855;364
856;351
857;340
858;353
859;355
860;302
861;374
862;334
863;356
864;347
865;316
866;342
867;335
868;299
869;331
870;302
871;327
872;332
873;339
874;345
875;320
876;355
877;303
878;300
879;317
880;322
881;349
882;314
883;310
884;322
885;306
886;300
887;307
888;327
889;310
890;319
891;371
892;323
893;336
894;313
895;322
896;331
897;328
898;344
899;368
900;309
901;361
902;292
903;322
904;332
905;327
906;323
907;318
908;326
909;324
910;315
911;324
912;306
913;352
914;298
915;360
916;341
917;337
918;316
919;358
920;318
921;375
922;317
923;339
924;326
925;325
926;327
927;392
928;342
929;344
930;357
931;337
932;372
933;363
934;334
935;349
936;365
937;355
938;346
939;355
940;361
941;344
942;373
943;350
944;357
945;339
946;324
947;345
948;328
949;340
950;355
951;346
952;337
953;343
954;336
955;368
956;346
957;343
958;336
959;373
960;381
961;353
962;352
963;330
964;358
965;345
966;379
967;345
968;368
969;368
970;398
971;346
972;396
973;353
974;382
975;350
976;319
977;340
978;366
979;310
980;360
981;341
982;320
983;351
984;350
985;355
986;340
987;381
988;334
989;358
990;339
991;368
992;354
993;337
994;350
995;333
996;349
997;341
998;330
999;329
1000;359
1001;326
1002;331
1003;317
1004;363
1005;327
1006;342
1007;323
1008;315
1009;357
1010;340
1011;339
1012;325
1013;343
1014;354
1015;327
1016;297
1017;356
1018;310
1019;343
1020;319
1021;310
1022;341
1023;346
1024;301
1025;329
1026;318
1027;351
1028;344
1029;329
1030;324
1031;327
1032;358
1033;367
1034;316
1035;298
1036;306
1037;332
1038;325
1039;336
1040;323
1041;307
1042;306
1043;323
1044;326
1045;319
1046;320
1047;308
1048;330
1049;340
1050;319
1051;298
1052;308
1053;309
1054;341
1055;276
1056;326
1057;336
1058;296
1059;299
1060;311
1061;316
1062;311
1063;314
1064;314
1065;303
1066;315
1067;308
1068;327
1069;297
1070;302
1071;284
1072;300
1073;329
1074;334
1075;415
1076;411
1077;443
1078;506
1079;465
1080;436
1081;427
1082;349
1083;346
1084;346
1085;263
1086;311
1087;293
1088;319
1089;295
1090;291
1091;268
1092;314
1093;369
1094;337
1095;330
1096;325
1097;295
1098;324
1099;298
1100;297
1101;313
1102;284
1103;298
1104;302
1105;315
1106;302
1107;288
1108;307
1109;274
1110;295
1111;287
1112;303
1113;314
1114;294
1115;277
1116;273
1117;291
1118;271
1119;271
1120;248
1121;298
1122;282
1123;273
1124;267
1125;315
1126;264
1127;307
1128;287
1129;290
1130;307
1131;307
1132;300
1133;260
1134;286
1135;279
1136;273
1137;265
1138;284
1139;297
1140;320
1141;300
1142;313
1143;277
1144;299
1145;277
1146;271
1147;281
1148;253
1149;259
1150;294
1151;268
1152;250
1153;305
1154;294
1155;262
1156;271
1157;281
1158;282
1159;268
1160;272
1161;279
1162;282
1163;307
1164;263
1165;272
1166;285
1167;264
1168;253
1169;279
1170;264
1171;254
1172;275
1173;276
1174;282
1175;261
1176;259
1177;260
1178;277
1179;260
1180;263
1181;289
1182;275
1183;270
1184;289
1185;267
1186;253
1187;302
1188;285
1189;230
1190;249
1191;287
1192;288
1193;280
1194;276
1195;238
1196;255
1197;275
1198;269
1199;262
1200;255
1201;247
1202;274
1203;253
1204;303
1205;266
1206;240
1207;235
1208;244
1209;234
1210;256
1211;279
1212;270
1213;246
1214;260
